county,yearG3,sex,raceCode,CAUSE,Ndeaths,Level,pop,rateSE,aRate,LCI,UCI,aSE,bestRate,bestSE,lowRace,rateRatio,Ztest,pValue,pMark
Alameda,2016-2018,Total,Hisp,A06,26,lev2,1159220,0.439865,3.59717,2.29176,5.48708,0.742657,1.218,0.220436,White-NH,3,3.0711588618149737,0.0010661483417552242,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Hisp,A07,79,lev2,1159220,0.766737,12.3079,9.61697,15.5859,1.45811,10.7314,0.860745,Asian-NH,1.1,0.9310706758465904,0.17590850310044548,No Difference
Alameda,2016-2018,Total,Hisp,A09,38,lev2,1159220,0.531771,3.09576,2.19074,4.48373,0.502198,1.90965,0.41672,White-NH,1.6,1.8175750969389641,0.034564550360007606,No Difference
Alameda,2016-2018,Total,Hisp,A99,55,lev2,1159220,0.639756,7.87048,5.81716,10.5002,1.12761,6.28369,0.666202,Asian-NH,1.3,1.2115621217059878,0.11284002072511345,No Difference
Alameda,2016-2018,Total,Hisp,B03,43,lev2,1159220,0.565675,5.68435,4.03043,7.89982,0.917341,2.59602,0.34817,White-NH,2.2,3.147530161436041,8.232805890076023e-4,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Hisp,B04,76,lev2,1159220,0.752038,11.2421,8.73864,14.319,1.35824,9.84257,0.810699,Asian-NH,1.1,0.8847780243304497,0.18813818205377275,No Difference
Alameda,2016-2018,Total,Hisp,B05,52,lev2,1159220,0.622063,7.47196,5.49286,10.0234,1.08826,5.86055,0.494175,White-NH,1.3,1.34822718764393,0.08879266134669273,No Difference
Alameda,2016-2018,Total,Hisp,B06,60,lev2,1159220,0.668203,9.38531,7.0611,12.3006,1.27094,7.333,0.703658,Asian-NH,1.3,1.4127268487971816,0.0788680270290738,No Difference
Alameda,2016-2018,Total,Hisp,B07,96,lev2,1159220,0.845217,16.3011,13.0921,20.1113,1.72737,16.3011,1.72737,Hisp,1,0,0.5,Lowest
Alameda,2016-2018,Total,Hisp,B09,54,lev2,1159220,0.633913,7.14375,5.25222,9.59654,1.04007,6.39051,0.644424,Asian-NH,1.1,0.6156280904650203,0.2690700036207957,No Difference
